originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isRatable,isAdult,numRegions,ratingCount,countryOfOrigin,genres,ratingMean,ReviewsTotal
Neogenic Nightmare Chapter 3: Hydro-Man,"(7, 8]",1995,40,0,779,1,21,tvEpisode,0,False,True,False,1,781,['US'],"Action,Adventure,Animation",7.5,1
Looping,"(5, 6]",1982,28,0,11,1,1,videoGame,0,False,True,False,1,11,['XWG'],Action,5.5,0
Idealnaya para,"(5, 6]",1992,92,0,38,1,24,movie,0,False,True,False,1,38,['RU'],Comedy,5.5,1
MasterChef Celebrity México,"(5, 6]",2021,53,0,15,22,56,tvSeries,0,True,True,False,1,15,['MX'],Reality-TV,5.5,0
Seutateueob,"(7, 8]",2020,80,1,15718,347,47,tvSeries,1,True,True,False,32,15746,['KR'],"Comedy,Drama,Romance",7.5,456
"Kiss, Kiss Bang, Bang","(7, 8]",1995,45,0,96,5,110,tvEpisode,0,False,True,False,1,96,['US'],"Drama,Romance",7.5,0
Nanba MG5,"(7, 8]",2022,129,0,70,7,69,tvMiniSeries,0,True,True,False,14,70,['JP'],Comedy,7.5,0
Estrela de Oito Pontas,"(7, 8]",1996,12,2,12,1,2,short,0,False,True,False,1,12,['BR'],"Animation,Short",7.5,0
Ulot Puran,"(8, 9]",2022,129,0,27,9,15,tvMiniSeries,0,True,True,False,1,27,['IN'],Drama,8.5,0
JJBA Mangabridged: Phantom Blood 2 of 2,"(8, 9]",2017,44,0,33,1,5,tvMovie,0,False,True,False,1,33,['US'],Action,8.5,0
1979 AFC Championship Game,"(8, 9]",1980,82,0,9,0,68,tvSpecial,0,False,True,False,1,9,['US'],Sport,8.5,0
Golubaya chashka,"(6, 7]",1965,60,0,24,1,36,movie,0,False,True,False,3,24,['SUHH'],Family,6.5,0
The Formula,"(2, 3]",2014,90,1,762,6,141,movie,0,False,True,False,5,762,['US'],"Comedy,Romance",2.5,5
Kako ubiv svetec,"(6, 7]",2004,82,1,322,1,84,movie,3,False,True,False,6,322,"['FR', 'MK', 'SI']",Drama,6.5,3
