originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,numVotes,worstRating,bestRating,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isRatable,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,genres
Neogenic Nightmare Chapter 3: Hydro-Man,"(7, 8]",1995,\N,\N,0.0,779,1,10,1,0,21,1,tvEpisode,0,False,True,0,1,0,781,['US'],"Action,Adventure,Animation"
Looping,"(5, 6]",1982,\N,\N,0.0,11,1,10,1,0,1,0,videoGame,0,False,True,0,1,0,11,['XWG'],Action
Idealnaya para,"(5, 6]",1992,\N,\N,0.0,38,1,10,1,0,24,0,movie,0,False,True,0,1,1,38,['RU'],Comedy
MasterChef Celebrity México,"(5, 6]",2021,\N,\N,0.0,15,1,10,22,0,56,0,tvSeries,0,True,True,0,1,0,15,['MX'],Reality-TV
Seutateueob,"(7, 8]",2020,2020,80,1.0,15718,1,10,347,2,47,4,tvSeries,1,True,True,0,32,452,15746,['KR'],"Comedy,Drama,Romance"
Lightdance,"(8, 9]",1995,\N,34,0.0,14,1,10,1,0,0,0,video,0,False,True,0,1,1,14,['US'],"Documentary,Short"
"Kiss, Kiss Bang, Bang","(7, 8]",1995,\N,45,0.0,96,1,10,5,0,110,0,tvEpisode,0,False,True,0,1,0,96,['US'],"Drama,Romance"
Nanba MG5,"(7, 8]",2022,\N,\N,0.0,70,1,10,7,0,69,0,tvMiniSeries,0,True,True,0,14,0,70,['JP'],Comedy
Estrela de Oito Pontas,"(7, 8]",1996,\N,12,2.0,12,1,10,1,0,2,0,short,0,False,True,0,1,0,12,['BR'],"Animation,Short"
Ulot Puran,"(8, 9]",2022,\N,\N,0.0,27,1,10,9,0,15,0,tvMiniSeries,0,True,True,0,1,0,27,['IN'],Drama
JJBA Mangabridged: Phantom Blood 2 of 2,"(8, 9]",2017,\N,44,0.0,33,1,10,1,0,5,0,tvMovie,0,False,True,0,1,0,33,['US'],Action
1979 AFC Championship Game,"(8, 9]",1980,\N,\N,0.0,9,1,10,0,0,68,0,tvSpecial,0,False,True,0,1,0,9,['US'],Sport
Golubaya chashka,"(6, 7]",1965,\N,60,0.0,24,1,10,1,0,36,0,movie,0,False,True,0,3,0,24,['SUHH'],Family
The Formula,"(2, 3]",2014,\N,90,1.0,762,1,10,6,1,141,1,movie,0,False,True,0,5,4,762,['US'],"Comedy,Romance"
Kako ubiv svetec,"(6, 7]",2004,\N,82,1.0,322,1,10,1,0,84,1,movie,3,False,True,0,6,2,322,"['FR', 'MK', 'SI']",Drama
The Electric Can Opener Fluctuation,"(8, 9]",2009,\N,21,0.0,4568,1,10,11,0,84,2,tvEpisode,0,False,True,0,1,5,4570,['US'],"Comedy,Romance"
