originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalVideos,totalCredits,titleType,canHaveEpisodes,isRatable,isAdult,numRegions,ratingCount,countryOfOrigin,genres,ratingMean,ReviewsTotal,nominations
Neogenic Nightmare Chapter 3: Hydro-Man,"(7, 8]",1995,40,779,1,0,21,tvEpisode,False,True,False,1,781,['US'],"Action,Adventure,Animation",7.5,1,0
Looping,"(5, 6]",1982,28,11,1,0,1,videoGame,False,True,False,1,11,['XWG'],Action,5.5,0,0
Idealnaya para,"(5, 6]",1992,92,38,1,0,24,movie,False,True,False,1,38,['RU'],Comedy,5.5,1,0
MasterChef Celebrity México,"(5, 6]",2021,53,15,22,0,56,tvSeries,True,True,False,1,15,['MX'],Reality-TV,5.5,0,0
Seutateueob,"(7, 8]",2020,80,15718,347,2,47,tvSeries,True,True,False,32,15746,['KR'],"Comedy,Drama,Romance",7.5,456,2
"Kiss, Kiss Bang, Bang","(7, 8]",1995,45,96,5,0,110,tvEpisode,False,True,False,1,96,['US'],"Drama,Romance",7.5,0,0
Nanba MG5,"(7, 8]",2022,129,70,7,0,69,tvMiniSeries,True,True,False,14,70,['JP'],Comedy,7.5,0,0
Estrela de Oito Pontas,"(7, 8]",1996,12,12,1,0,2,short,False,True,False,1,12,['BR'],"Animation,Short",7.5,0,2
Ulot Puran,"(8, 9]",2022,129,27,9,0,15,tvMiniSeries,True,True,False,1,27,['IN'],Drama,8.5,0,0
JJBA Mangabridged: Phantom Blood 2 of 2,"(8, 9]",2017,44,33,1,0,5,tvMovie,False,True,False,1,33,['US'],Action,8.5,0,0
1979 AFC Championship Game,"(8, 9]",1980,82,9,0,0,68,tvSpecial,False,True,False,1,9,['US'],Sport,8.5,0,0
Golubaya chashka,"(6, 7]",1965,60,24,1,0,36,movie,False,True,False,3,24,['SUHH'],Family,6.5,0,0
The Formula,"(2, 3]",2014,90,762,6,1,141,movie,False,True,False,5,762,['US'],"Comedy,Romance",2.5,5,1
Kako ubiv svetec,"(6, 7]",2004,82,322,1,0,84,movie,False,True,False,6,322,"['FR', 'MK', 'SI']",Drama,6.5,3,4
The Electric Can Opener Fluctuation,"(8, 9]",2009,21,4568,11,0,84,tvEpisode,False,True,False,1,4570,['US'],"Comedy,Romance",8.5,7,0
Sashiyum Sakunthalayum,"(4, 5]",2023,122,408,7,3,23,movie,False,True,False,3,408,['IN'],Comedy,4.5,0,0
Justice of the Siblings of the Shinobi Village,"(8, 9]",1984,40,9,0,0,30,tvEpisode,False,True,False,1,9,['JP'],"Action,Adventure,Animation",8.5,0,0
Side Roads,"(6, 7]",2016,17,10,1,0,6,short,False,True,False,1,10,['PL'],Short,6.5,0,0
Boxeurs,"(4, 5]",1900,1,13,1,0,4,short,False,True,False,1,13,['FR'],"Comedy,Short",4.5,0,0
The New Batman Adventures,"(8, 9]",1997,30,19746,719,0,438,tvSeries,True,True,False,31,19758,['US'],"Action,Adventure,Animation",8.5,47,16
Spring,"(7, 8]",1970,23,11,93,0,11,tvEpisode,False,True,False,1,11,['GB'],Comedy,7.5,0,0
The Whole Truth,"(6, 7]",2016,93,34144,41,16,209,movie,False,True,False,32,34175,['US'],"Crime,Drama,Mystery",6.5,212,1
The Man from Thunder River,"(6, 7]",1943,57,32,11,0,35,movie,False,True,False,3,32,['US'],"Drama,Western",6.5,1,0
Leichenfund im Jagen 14,"(5, 6]",1968,74,6,0,0,43,tvEpisode,False,True,False,1,6,['DDDE'],Crime,5.5,0,0
What Did You Do in the War Daddy?,"(6, 7]",1970,40,19,4,0,14,tvEpisode,False,True,False,1,19,['GB'],"Drama,History,War",6.5,1,0
Stuck in the Middle with You,"(5, 6]",2007,30,23,1,0,54,tvEpisode,False,True,False,1,23,['GB'],Comedy,5.5,2,0
Patagonia Treasure Trail,"(4, 5]",2016,85,20,3,0,35,movie,False,True,False,2,20,['US'],Western,4.5,0,0
O ahaireftos,"(5, 6]",1970,83,21,46,0,44,movie,False,True,False,2,22,['GR'],Comedy,5.5,0,0
Kavyaarohan with Momila,"(4, 5]",2020,75,5,1,0,8,tvEpisode,False,True,False,1,5,['NP'],Reality-TV,4.5,0,0
A Woman's Help,"(7, 8]",1961,30,438,3,0,23,tvEpisode,False,True,False,1,438,['US'],"Drama,Mystery",7.5,7,0
Episode #1.3467,"(6, 7]",2007,28,13,0,0,44,tvEpisode,False,True,False,7,13,['GB'],"Crime,Drama,Romance",6.5,0,0
Tørst - Framtidens forbrytelser,"(4, 5]",1999,92,8,2,0,85,movie,False,True,False,1,8,['NO'],"Crime,Drama",4.5,0,1
Sie und Er,"(7, 8]",1992,184,10,0,0,42,tvMovie,False,True,False,1,10,['DE'],Drama,7.5,0,1
Hot Shorts: Christy Canyon,"(7, 8]",1986,71,20,0,0,9,video,False,True,True,1,20,['US'],"Adult,Short",7.5,1,0
Sir Hubert Wilkins & Mary Healy and Peter Lind Hayes,"(8, 9]",1958,30,34,5,0,13,tvEpisode,False,True,False,1,34,['US'],"Family,Game-Show",8.5,0,0
Pälsen,"(5, 6]",1966,25,5,1,0,10,tvMovie,False,True,False,2,5,['SE'],Drama,5.5,0,0
Pryanik,"(5, 6]",1993,10,27,5,0,23,short,False,True,False,4,27,['RU'],"Animation,Short",5.5,0,0
Místa,"(5, 6]",2014,108,57,71,1,48,movie,False,True,False,5,57,"['CZ', 'SK']",Drama,5.5,7,0
Giger - tajunnan ydin,"(4, 5]",1992,30,31,1,0,23,short,False,True,False,4,31,['FI'],"Documentary,Short",4.5,0,1
Sands of Time,"(8, 9]",1997,25,33,0,0,21,tvEpisode,False,True,False,1,33,['GB'],"Crime,Drama",8.5,1,0
In Character With...,"(2, 3]",2009,53,17,0,0,82,tvSeries,True,True,False,1,17,['US'],Talk-Show,2.5,0,0
The Dossier Case,"(9, 10]",2012,40,9,1,0,106,short,False,True,False,1,9,['AU'],"Adventure,Comedy,Short",9.5,0,6
The Mysterious Rain Shelter! Nyasper Is Watching!!,"(7, 8]",2014,21,108,2,0,125,tvEpisode,False,True,False,1,108,['JP'],"Action,Adventure,Animation",7.5,0,0
Hoodlum Priest and the Gold Mint,"(5, 6]",1968,80,24,1,0,9,movie,False,True,False,2,24,['JP'],"Action,Crime",5.5,1,0
Episode #2.46,"(8, 9]",1976,40,13,0,0,54,tvEpisode,False,True,False,7,13,['US'],"Comedy,Romance",8.5,0,0
The Switchman,"(7, 8]",1996,40,356,7,0,72,tvEpisode,False,True,False,1,356,['US'],"Action,Adventure,Crime",7.5,11,0
Ad Fundum,"(6, 7]",1993,98,1442,3,0,87,movie,False,True,False,3,1442,['BE'],Drama,6.5,8,2
Achtunddreißig fünf,"(8, 9]",1993,28,25,0,0,45,tvEpisode,False,True,False,1,25,['DE'],"Comedy,Family",8.5,0,0
Hush,"(6, 7]",2007,81,6,0,0,21,tvMovie,False,True,False,1,6,['AU'],Comedy,6.5,0,0
The Colour of Money,"(6, 7]",2009,53,11,1,0,20,tvSeries,True,True,False,1,11,['GB'],Game-Show,6.5,0,0
Slave,"(2, 3]",2012,110,37,1,0,79,movie,False,True,False,2,37,"['CY', 'DE']","Crime,Thriller",2.5,0,0
And Away We Go!,"(7, 8]",1989,48,90,1,0,68,tvEpisode,False,True,False,1,90,['US'],"Drama,Romance",7.5,0,0
Tricky Business,"(5, 6]",1995,71,98,0,0,8,video,False,True,True,1,98,['US'],Adult,5.5,0,0
Mea Culpa,"(7, 8]",2018,50,78,0,0,158,tvEpisode,False,True,False,1,78,"['IT', 'FR']","Drama,Mystery",7.5,1,0
Ice Bound,"(6, 7]",2003,89,612,71,0,127,tvMovie,False,True,False,9,612,"['CA', 'US']",Drama,6.5,16,1
No More Mr. Nice Guy,"(7, 8]",2018,42,226,4,2,186,tvEpisode,False,True,False,1,226,['US'],"Drama,Sci-Fi,Thriller",7.5,2,0
