originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isRatable,isAdult,numRegions,countryOfOrigin,genres,ratingMean,ReviewsTotal,popularityIndex
Neogenic Nightmare Chapter 3: Hydro-Man,"(7, 8]",0.801369863013699,0.07017543859649122,0.0,0.4113694958989834,0.08492425673851772,0.0,0.3501054266153756,tvEpisode,0.0,False,True,False,0.0,['US'],"Action,Adventure,Animation",0.7777777777777777,0.0926614295597353,0.0
Looping,"(5, 6]",0.7123287671232887,0.04912280701754386,0.0,0.05857988457052593,0.08492425673851772,0.0,0.0,videoGame,0.0,False,True,False,0.0,['XWG'],Action,0.5555555555555555,0.0,0.0
Idealnaya para,"(5, 6]",0.7808219178082201,0.16140350877192983,0.0,0.1581914469783687,0.08492425673851772,0.0,0.3687697767960738,movie,0.0,False,True,False,0.0,['RU'],Comedy,0.5555555555555555,0.0926614295597353,0.0
MasterChef Celebrity México,"(5, 6]",0.9794520547945211,0.09298245614035087,0.0,0.08289273337072031,0.3841601369287772,0.0,0.4891037623286909,tvSeries,0.0,True,True,False,0.0,['MX'],Reality-TV,0.5555555555555555,0.0,0.0
Seutateueob,"(7, 8]",0.9726027397260282,0.14035087719298245,0.1390854521985406,0.6651897801761091,0.7170107010702558,0.19770492742798718,0.46401271344186623,tvSeries,0.143558852691131,True,True,False,0.7884911216631053,['KR'],"Comedy,Drama,Romance",0.7777777777777777,0.8187610575614875,0.07334056132292155
"Kiss, Kiss Bang, Bang","(7, 8]",0.801369863013699,0.07894736842105263,0.0,0.23519532755947023,0.21952601907068428,0.0,0.5864132211621836,tvEpisode,0.0,False,True,False,0.0,['US'],"Drama,Romance",0.7777777777777777,0.0,0.0
Nanba MG5,"(7, 8]",0.9863013698630141,0.22631578947368422,0.0,0.20882467148712516,0.25477277021555317,0.0,0.5190996720975501,tvMiniSeries,0.0,True,True,False,0.5667245472720827,['JP'],Comedy,0.7777777777777777,0.0,0.0
Estrela de Oito Pontas,"(7, 8]",0.8082191780821919,0.021052631578947368,0.22044522613053177,0.06534452663751128,0.08492425673851772,0.0,0.059200056091771924,short,0.0,False,True,False,0.0,['BR'],"Animation,Short",0.7777777777777777,0.0,0.0
Ulot Puran,"(8, 9]",0.9863013698630141,0.22631578947368422,0.0,0.13018749151230072,0.28211227439710945,0.0,0.3036094930125707,tvMiniSeries,0.0,True,True,False,0.0,['IN'],Drama,0.8888888888888888,0.0,0.0
JJBA Mangabridged: Phantom Blood 2 of 2,"(8, 9]",0.9520547945205493,0.07719298245614035,0.0,0.14659618108590136,0.08492425673851772,0.0,0.16040322042929547,tvMovie,0.0,False,True,False,0.0,['US'],Action,0.8888888888888888,0.0,0.0
