startYear;runtimeMinutes;numVotes;totalImages;totalVideos;totalCredits;AwNmExWins;numRegions;ratingCount;ratingMean;ReviewsTotal
1995;40;779;1;0;21;0;1;781;7.5;1
1982;28;11;1;0;1;0;1;11;5.5;0
1992;92;38;1;0;24;0;1;38;5.5;1
2021;53;15;22;0;56;0;1;15;5.5;0
2020;80;15718;347;2;47;1;32;15746;7.5;456
1995;45;96;5;0;110;0;1;96;7.5;0
2022;129;70;7;0;69;0;14;70;7.5;0
1996;12;12;1;0;2;0;1;12;7.5;0
2022;129;27;9;0;15;0;1;27;8.5;0
2017;44;33;1;0;5;0;1;33;8.5;0
1980;82;9;0;0;68;0;1;9;8.5;0
1965;60;24;1;0;36;0;3;24;6.5;0
2014;90;762;6;1;141;0;5;762;2.5;5
2004;82;322;1;0;84;3;6;322;6.5;3
2009;21;4568;11;0;84;0;1;4570;8.5;7
2023;122;408;7;3;23;0;3;408;4.5;0
1984;40;9;0;0;30;0;1;9;8.5;0
2016;17;10;1;0;6;0;1;10;6.5;0
1900;1;13;1;0;4;0;1;13;4.5;0
1997;30;19746;719;0;438;10;31;19758;8.5;47
1970;23;11;93;0;11;0;1;11;7.5;0
2016;93;34144;41;16;209;1;32;34175;6.5;212
1943;57;32;11;0;35;0;3;32;6.5;1
1968;74;6;0;0;43;0;1;6;5.5;0
1970;40;19;4;0;14;0;1;19;6.5;1
2007;30;23;1;0;54;0;1;23;5.5;2
2016;85;20;3;0;35;0;2;20;4.5;0
1970;83;21;46;0;44;0;2;22;5.5;0
2020;75;5;1;0;8;0;1;5;4.5;0
1961;30;438;3;0;23;0;1;438;7.5;7
2007;28;13;0;0;44;0;7;13;6.5;0
1999;92;8;2;0;85;0;1;8;4.5;0
1992;184;10;0;0;42;0;1;10;7.5;0
1986;71;20;0;0;9;0;1;20;7.5;1
1958;30;34;5;0;13;0;1;34;8.5;0
1966;25;5;1;0;10;0;2;5;5.5;0
1993;10;27;5;0;23;0;4;27;5.5;0
2014;108;57;71;1;48;0;5;57;5.5;7
1992;30;31;1;0;23;0;4;31;4.5;0
1997;25;33;0;0;21;0;1;33;8.5;1
2009;53;17;0;0;82;0;1;17;2.5;0
2012;40;9;1;0;106;5;1;9;9.5;0
2014;21;108;2;0;125;0;1;108;7.5;0
1968;80;24;1;0;9;0;2;24;5.5;1
1976;40;13;0;0;54;0;7;13;8.5;0
1996;40;356;7;0;72;0;1;356;7.5;11
1993;98;1442;3;0;87;1;3;1442;6.5;8
1993;28;25;0;0;45;0;1;25;8.5;0
2007;81;6;0;0;21;0;1;6;6.5;0
2009;53;11;1;0;20;0;1;11;6.5;0
2012;110;37;1;0;79;0;2;37;2.5;0
1989;48;90;1;0;68;0;1;90;7.5;0
1995;71;98;0;0;8;0;1;98;5.5;0
2018;50;78;0;0;158;0;1;78;7.5;1
2003;89;612;71;0;127;1;9;612;6.5;16
2018;42;226;4;2;186;0;1;226;7.5;2
2008;71;17;1;0;42;0;1;17;8.5;6
2016;83;35;1;0;38;0;4;35;6.5;2
1932;79;409;30;0;66;0;10;408;6.5;19
1993;4;17;1;0;3;0;5;17;5.5;0
2023;43;58;1;0;168;0;7;59;6.5;0
2016;17;17;10;0;23;2;2;17;8.5;0
2018;41;36;1;0;41;0;1;36;6.5;0
1906;6;12;0;0;2;0;2;12;6.5;0
1996;25;14;1;0;60;0;1;14;8.5;2
1898;1;1019;7;0;3;0;7;1021;6.5;12
2020;40;43;1;0;49;0;1;43;9.5;0
2020;53;21;3;0;9;0;2;21;9.5;1
1982;101;15;2;0;37;1;1;15;7.5;0
1982;77;27;1;0;55;0;2;27;3.5;0
1966;6;12;0;0;11;0;1;12;5.5;0
2016;40;12;1;0;127;0;1;12;9.5;0
2021;14;19;6;0;21;3;1;19;5.5;2
1914;16;1253;10;0;19;0;16;1253;4.5;21
1975;92;69;1;0;45;0;9;69;4.5;4
1960;85;138;2;0;66;0;5;138;5.5;10
2015;92;680;3;1;88;4;15;680;6.5;26
1953;7;3643;15;0;17;0;12;3643;8.5;27
1980;24;28;0;0;3;0;1;28;6.5;0
2007;24;17;0;0;30;0;1;17;9.5;0
2017;3;44;1;0;7;0;2;44;7.5;0
2014;92;18;1;1;18;0;1;18;6.5;0
1970;40;72;11;0;42;0;1;72;8.5;6
1995;105;3644;15;0;111;2;19;3645;6.5;55
2023;129;32;5;0;20;0;2;32;7.5;0
2003;20;31;2;0;31;0;1;31;6.5;1
2010;8;14;5;0;27;0;1;14;7.5;0
1941;92;17;1;0;23;0;11;17;6.5;1
1981;49;85;1;0;85;0;1;85;7.5;1
2013;29;10;0;0;66;0;2;10;7.5;0
1997;40;121;3;0;111;0;1;121;6.5;2
1996;26;60;2;0;20;0;2;60;6.5;2
1987;60;47;6;0;11;0;1;47;4.5;0
2022;13;7;1;0;3;0;1;7;8.5;0
1998;22;551;2;0;39;0;1;551;7.5;0
1992;28;13;1;0;24;0;1;13;7.5;0
2023;50;61747;62;5;678;22;24;61851;7.5;490
2017;11;8;2;0;7;0;1;8;8.5;0
1988;47;101;2;0;72;0;1;101;7.5;1
2008;97;1128;1;1;45;0;3;1128;3.5;21
2011;12;16;2;0;25;0;1;16;7.5;0
2008;46;24;2;0;18;0;1;24;7.5;0
1970;30;135;3;0;39;0;1;135;4.5;9
1999;65;46;20;0;10;0;5;46;7.5;2
