originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isAdult,numRegions,countryOfOrigin,genres,ratingMean,ReviewsTotal
Neogenic Nightmare Chapter 3: Hydro-Man,"(7, 8]",1995,40,0.0,6.659293919683638,0.6931471805599453,0.0,21,tvEpisode,0.0,False,False,1,['US'],"Action,Adventure,Animation",7.5,0.6931471805599453
Looping,"(5, 6]",1982,28,0.0,2.4849066497880004,0.6931471805599453,0.0,1,videoGame,0.0,False,False,1,['XWG'],Action,5.5,0.0
Idealnaya para,"(5, 6]",1992,92,0.0,3.6635616461296463,0.6931471805599453,0.0,24,movie,0.0,False,False,1,['RU'],Comedy,5.5,0.6931471805599453
MasterChef Celebrity México,"(5, 6]",2021,53,0.0,2.772588722239781,3.1354942159291497,0.0,56,tvSeries,0.0,True,False,1,['MX'],Reality-TV,5.5,0.0
Seutateueob,"(7, 8]",2020,80,0.6931471805599453,9.662625450728237,5.8522024797744745,1.0986122886681098,47,tvSeries,0.6931471805599453,True,False,32,['KR'],"Comedy,Drama,Romance",7.5,6.124683390894205
"Kiss, Kiss Bang, Bang","(7, 8]",1995,45,0.0,4.574710978503383,1.791759469228055,0.0,110,tvEpisode,0.0,False,False,1,['US'],"Drama,Romance",7.5,0.0
Nanba MG5,"(7, 8]",2022,129,0.0,4.2626798770413155,2.0794415416798357,0.0,69,tvMiniSeries,0.0,True,False,14,['JP'],Comedy,7.5,0.0
Estrela de Oito Pontas,"(7, 8]",1996,12,1.0986122886681098,2.5649493574615367,0.6931471805599453,0.0,2,short,0.0,False,False,1,['BR'],"Animation,Short",7.5,0.0
Ulot Puran,"(8, 9]",2022,129,0.0,3.332204510175204,2.302585092994046,0.0,15,tvMiniSeries,0.0,True,False,1,['IN'],Drama,8.5,0.0
JJBA Mangabridged: Phantom Blood 2 of 2,"(8, 9]",2017,44,0.0,3.5263605246161616,0.6931471805599453,0.0,5,tvMovie,0.0,False,False,1,['US'],Action,8.5,0.0
1979 AFC Championship Game,"(8, 9]",1980,82,0.0,2.302585092994046,0.0,0.0,68,tvSpecial,0.0,False,False,1,['US'],Sport,8.5,0.0
Golubaya chashka,"(6, 7]",1965,60,0.0,3.2188758248682006,0.6931471805599453,0.0,36,movie,0.0,False,False,3,['SUHH'],Family,6.5,0.0
The Formula,"(2, 3]",2014,90,0.6931471805599453,6.637258031284457,1.9459101490553132,0.6931471805599453,141,movie,0.0,False,False,5,['US'],"Comedy,Romance",2.5,1.791759469228055
Kako ubiv svetec,"(6, 7]",2004,82,0.6931471805599453,5.777652323222656,0.6931471805599453,0.0,84,movie,1.3862943611198906,False,False,6,"['FR', 'MK', 'SI']",Drama,6.5,1.3862943611198906
The Electric Can Opener Fluctuation,"(8, 9]",2009,21,0.0,8.427049641563272,2.4849066497880004,0.0,84,tvEpisode,0.0,False,False,1,['US'],"Comedy,Romance",8.5,2.0794415416798357
Sashiyum Sakunthalayum,"(4, 5]",2023,122,0.0,6.013715156042802,2.0794415416798357,1.3862943611198906,23,movie,0.0,False,False,3,['IN'],Comedy,4.5,0.0
Justice of the Siblings of the Shinobi Village,"(8, 9]",1984,40,0.0,2.302585092994046,0.0,0.0,30,tvEpisode,0.0,False,False,1,['JP'],"Action,Adventure,Animation",8.5,0.0
