originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalVideos,totalCredits,titleType,canHaveEpisodes,isRatable,isAdult,numRegions,ratingCount,countryOfOrigin,genres,ratingMean,ReviewsTotal,nominations
Neogenic Nightmare Chapter 3: Hydro-Man,"(7, 8]",1995,40,6.659293919683638,1,0,3.091042453358316,tvEpisode,False,True,False,0.6931471805599453,781,['US'],"Action,Adventure,Animation",7.5,0.6931471805599453,0.0
Looping,"(5, 6]",1982,28,2.4849066497880004,1,0,0.6931471805599453,videoGame,False,True,False,0.6931471805599453,11,['XWG'],Action,5.5,0.0,0.0
Idealnaya para,"(5, 6]",1992,92,3.6635616461296463,1,0,3.2188758248682006,movie,False,True,False,0.6931471805599453,38,['RU'],Comedy,5.5,0.6931471805599453,0.0
MasterChef Celebrity México,"(5, 6]",2021,53,2.772588722239781,22,0,4.04305126783455,tvSeries,True,True,False,0.6931471805599453,15,['MX'],Reality-TV,5.5,0.0,0.0
Seutateueob,"(7, 8]",2020,80,9.662625450728237,347,2,3.871201010907891,tvSeries,True,True,False,3.4965075614664802,15746,['KR'],"Comedy,Drama,Romance",7.5,6.124683390894205,1.0986122886681098
"Kiss, Kiss Bang, Bang","(7, 8]",1995,45,4.574710978503383,5,0,4.709530201312334,tvEpisode,False,True,False,0.6931471805599453,96,['US'],"Drama,Romance",7.5,0.0,0.0
Nanba MG5,"(7, 8]",2022,129,4.2626798770413155,7,0,4.248495242049359,tvMiniSeries,True,True,False,2.70805020110221,70,['JP'],Comedy,7.5,0.0,0.0
Estrela de Oito Pontas,"(7, 8]",1996,12,2.5649493574615367,1,0,1.0986122886681098,short,False,True,False,0.6931471805599453,12,['BR'],"Animation,Short",7.5,0.0,1.0986122886681098
Ulot Puran,"(8, 9]",2022,129,3.332204510175204,9,0,2.772588722239781,tvMiniSeries,True,True,False,0.6931471805599453,27,['IN'],Drama,8.5,0.0,0.0
JJBA Mangabridged: Phantom Blood 2 of 2,"(8, 9]",2017,44,3.5263605246161616,1,0,1.791759469228055,tvMovie,False,True,False,0.6931471805599453,33,['US'],Action,8.5,0.0,0.0
1979 AFC Championship Game,"(8, 9]",1980,82,2.302585092994046,0,0,4.23410650459726,tvSpecial,False,True,False,0.6931471805599453,9,['US'],Sport,8.5,0.0,0.0
Golubaya chashka,"(6, 7]",1965,60,3.2188758248682006,1,0,3.6109179126442243,movie,False,True,False,1.3862943611198906,24,['SUHH'],Family,6.5,0.0,0.0
The Formula,"(2, 3]",2014,90,6.637258031284457,6,1,4.955827057601261,movie,False,True,False,1.791759469228055,762,['US'],"Comedy,Romance",2.5,1.791759469228055,0.6931471805599453
Kako ubiv svetec,"(6, 7]",2004,82,5.777652323222656,1,0,4.442651256490317,movie,False,True,False,1.9459101490553132,322,"['FR', 'MK', 'SI']",Drama,6.5,1.3862943611198906,1.6094379124341003
The Electric Can Opener Fluctuation,"(8, 9]",2009,21,8.427049641563272,11,0,4.442651256490317,tvEpisode,False,True,False,0.6931471805599453,4570,['US'],"Comedy,Romance",8.5,2.0794415416798357,0.0
Sashiyum Sakunthalayum,"(4, 5]",2023,122,6.013715156042802,7,3,3.1780538303479458,movie,False,True,False,1.3862943611198906,408,['IN'],Comedy,4.5,0.0,0.0
Justice of the Siblings of the Shinobi Village,"(8, 9]",1984,40,2.302585092994046,0,0,3.4339872044851463,tvEpisode,False,True,False,0.6931471805599453,9,['JP'],"Action,Adventure,Animation",8.5,0.0,0.0
Side Roads,"(6, 7]",2016,17,2.3978952727983707,1,0,1.9459101490553132,short,False,True,False,0.6931471805599453,10,['PL'],Short,6.5,0.0,0.0
Boxeurs,"(4, 5]",1900,1,2.6390573296152584,1,0,1.6094379124341003,short,False,True,False,0.6931471805599453,13,['FR'],"Comedy,Short",4.5,0.0,0.0
The New Batman Adventures,"(8, 9]",1997,30,9.89075686005731,719,0,6.0844994130751715,tvSeries,True,True,False,3.4657359027997265,19758,['US'],"Action,Adventure,Animation",8.5,3.871201010907891,2.833213344056216
Spring,"(7, 8]",1970,23,2.4849066497880004,93,0,2.4849066497880004,tvEpisode,False,True,False,0.6931471805599453,11,['GB'],Comedy,7.5,0.0,0.0
The Whole Truth,"(6, 7]",2016,93,10.438371441395189,41,16,5.3471075307174685,movie,False,True,False,3.4965075614664802,34175,['US'],"Crime,Drama,Mystery",6.5,5.3612921657094255,0.6931471805599453
The Man from Thunder River,"(6, 7]",1943,57,3.4965075614664802,11,0,3.58351893845611,movie,False,True,False,1.3862943611198906,32,['US'],"Drama,Western",6.5,0.6931471805599453,0.0
Leichenfund im Jagen 14,"(5, 6]",1968,74,1.9459101490553132,0,0,3.784189633918261,tvEpisode,False,True,False,0.6931471805599453,6,['DDDE'],Crime,5.5,0.0,0.0
What Did You Do in the War Daddy?,"(6, 7]",1970,40,2.995732273553991,4,0,2.70805020110221,tvEpisode,False,True,False,0.6931471805599453,19,['GB'],"Drama,History,War",6.5,0.6931471805599453,0.0
Stuck in the Middle with You,"(5, 6]",2007,30,3.1780538303479458,1,0,4.007333185232471,tvEpisode,False,True,False,0.6931471805599453,23,['GB'],Comedy,5.5,1.0986122886681098,0.0
Patagonia Treasure Trail,"(4, 5]",2016,85,3.044522437723423,3,0,3.58351893845611,movie,False,True,False,1.0986122886681098,20,['US'],Western,4.5,0.0,0.0
O ahaireftos,"(5, 6]",1970,83,3.091042453358316,46,0,3.8066624897703196,movie,False,True,False,1.0986122886681098,22,['GR'],Comedy,5.5,0.0,0.0
Kavyaarohan with Momila,"(4, 5]",2020,75,1.791759469228055,1,0,2.1972245773362196,tvEpisode,False,True,False,0.6931471805599453,5,['NP'],Reality-TV,4.5,0.0,0.0
A Woman's Help,"(7, 8]",1961,30,6.0844994130751715,3,0,3.1780538303479458,tvEpisode,False,True,False,0.6931471805599453,438,['US'],"Drama,Mystery",7.5,2.0794415416798357,0.0
Episode #1.3467,"(6, 7]",2007,28,2.6390573296152584,0,0,3.8066624897703196,tvEpisode,False,True,False,2.0794415416798357,13,['GB'],"Crime,Drama,Romance",6.5,0.0,0.0
Tørst - Framtidens forbrytelser,"(4, 5]",1999,92,2.1972245773362196,2,0,4.454347296253507,movie,False,True,False,0.6931471805599453,8,['NO'],"Crime,Drama",4.5,0.0,0.6931471805599453
Sie und Er,"(7, 8]",1992,184,2.3978952727983707,0,0,3.7612001156935624,tvMovie,False,True,False,0.6931471805599453,10,['DE'],Drama,7.5,0.0,0.6931471805599453
Hot Shorts: Christy Canyon,"(7, 8]",1986,71,3.044522437723423,0,0,2.302585092994046,video,False,True,True,0.6931471805599453,20,['US'],"Adult,Short",7.5,0.6931471805599453,0.0
Sir Hubert Wilkins & Mary Healy and Peter Lind Hayes,"(8, 9]",1958,30,3.5553480614894135,5,0,2.6390573296152584,tvEpisode,False,True,False,0.6931471805599453,34,['US'],"Family,Game-Show",8.5,0.0,0.0
Pälsen,"(5, 6]",1966,25,1.791759469228055,1,0,2.3978952727983707,tvMovie,False,True,False,1.0986122886681098,5,['SE'],Drama,5.5,0.0,0.0
Pryanik,"(5, 6]",1993,10,3.332204510175204,5,0,3.1780538303479458,short,False,True,False,1.6094379124341003,27,['RU'],"Animation,Short",5.5,0.0,0.0
Místa,"(5, 6]",2014,108,4.060443010546419,71,1,3.8918202981106265,movie,False,True,False,1.791759469228055,57,"['CZ', 'SK']",Drama,5.5,2.0794415416798357,0.0
Giger - tajunnan ydin,"(4, 5]",1992,30,3.4657359027997265,1,0,3.1780538303479458,short,False,True,False,1.6094379124341003,31,['FI'],"Documentary,Short",4.5,0.0,0.6931471805599453
Sands of Time,"(8, 9]",1997,25,3.5263605246161616,0,0,3.091042453358316,tvEpisode,False,True,False,0.6931471805599453,33,['GB'],"Crime,Drama",8.5,0.6931471805599453,0.0
In Character With...,"(2, 3]",2009,53,2.8903717578961645,0,0,4.418840607796598,tvSeries,True,True,False,0.6931471805599453,17,['US'],Talk-Show,2.5,0.0,0.0
